brand,content,score,at,replyContent,replyDate
BPCL,"bahut hi wahiyat application hai, total worst application , I think the engineers arw full dumb. They do not have sense of font style ans font family , many times the application wont let you login , otp does not come ,over all failed prpduct but customer do not have options but to ise this pathetic app.",1,2026-01-14 23:39:38,,
BPCL,very good and superfast 👍,5,2026-01-14 22:51:04,,
BPCL,Good aplication,5,2026-01-14 22:47:37,,
BPCL,most satisfactory,5,2026-01-14 22:07:47,,
BPCL,very nice and efficient app. You can book a refill cylinder easily through it.,5,2026-01-14 22:03:35,,
BPCL,thank you,5,2026-01-14 21:55:04,,
BPCL,good app 👍😁👍,5,2026-01-14 21:07:01,,
BPCL,Nice apps,5,2026-01-14 20:40:17,"Hi Tahir,
Thanks for sharing your feedback. It motivates us to keep energizing lives through our offerings. Kindly spread the word and invite your friends and family to experience Hello BPCL. We request you to update your app to the latest version to feel the difference.
- Bharat Petroleum Corporation Limited",
BPCL,simple and easy to use,5,2026-01-14 20:30:43,,
BPCL,App doesn't work properly fix it,1,2026-01-14 20:14:35,,
BPCL,worst experience camera not open at payment scanning,1,2026-01-14 20:09:03,,
BPCL,very bad,1,2026-01-14 20:04:39,,
BPCL,Good,4,2026-01-14 19:42:54,,
BPCL,very poor app,1,2026-01-14 19:39:40,,
BPCL,Good app for gas booking,4,2026-01-14 19:23:51,,
BPCL,good app,5,2026-01-14 18:52:33,,
BPCL,very much user friendly,5,2026-01-14 18:42:00,,
BPCL,App is very user friendly. Good experience,5,2026-01-14 18:38:01,,
BPCL,nice,5,2026-01-14 18:36:50,,
BPCL,good,5,2026-01-14 18:21:22,,
BPCL,great service,5,2026-01-14 17:22:16,,
BPCL,"in my area Bharat petroleum do not accept this app , and what should I do now i have top-up my wallet",1,2026-01-14 16:54:35,,
BPCL,good service,5,2026-01-14 16:51:47,,
BPCL,"OTP is getting very late, if resend is given wrong otp is getting entered and moving towards blocking log-in. Very bad. Still same problem, otp is getting too late. Not able to log in tried after weeks! OTP is valid for 5 minutes, when after a long wait if resend otp or attempted again to login, the previous otp of hours before will come immediately to get ""wrong otp entered"" you have only one more chance before blocking. This story is continuing for months!! No one is there to listen.",1,2026-01-14 16:43:41,,
BPCL,good,5,2026-01-14 16:27:36,,
BPCL,Very good,4,2026-01-14 16:04:40,,
BPCL,very fast response,5,2026-01-14 15:57:09,,
BPCL,As I open the app it show your device is not safe to run the hello bpcl application and there is only one option exit what is the solution plz reply,1,2026-01-14 15:41:59,,
BPCL,good,5,2026-01-14 15:41:45,,
BPCL,good,3,2026-01-14 15:30:36,,
BPCL,good service,5,2026-01-14 15:27:21,,
BPCL,best,5,2026-01-14 15:15:25,,
BPCL,best app experience,5,2026-01-14 14:37:57,,
BPCL,gooooooooood,4,2026-01-14 13:42:02,,
BPCL,payment gateway issue very bad,1,2026-01-14 13:40:41,,
BPCL,good,5,2026-01-14 13:25:14,,
BPCL,worst app,1,2026-01-14 12:51:06,,
BPCL,excellent,5,2026-01-14 12:27:42,,
BPCL,Best service from your side for necessary KYC form home,5,2026-01-14 12:25:29,,
BPCL,nice,5,2026-01-14 12:13:49,,
BPCL,nice,5,2026-01-14 12:00:08,,
BPCL,good,5,2026-01-14 11:51:55,,
BPCL,nice app,5,2026-01-14 11:27:57,,
BPCL,👍,5,2026-01-14 10:56:45,,
BPCL,Excellent,5,2026-01-14 10:52:27,,
BPCL,excellent,5,2026-01-14 10:51:15,,
BPCL,क्लिअर ऑपशन नाही,1,2026-01-14 10:25:47,,
BPCL,nice app,5,2026-01-14 09:36:04,,
