reviewId,content,score,at,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,appVersion,source,author,retweets,replies
twitter_synthetic_4859,"[Hyderabad] Sometimes on time, sometimes late @BPCLimited",,2025-11-17T05:13:01.217038+00:00,100,,,,,Twitter,user_45264,35,3
twitter_synthetic_3177,[Delhi] Cylinder replacement procedure kya hai? @BPCLimited,,2025-11-20T07:13:01.217038+00:00,16,,,,,Twitter,user_12031,27,10
twitter_synthetic_936,Service theek hai par billing mein galti tha @BPCLimited amazing,,2025-12-05T16:13:01.217038+00:00,50,,,,,Twitter,user_30109,38,14
twitter_synthetic_3537,[Hyderabad] Transparent billing system needed @BPCLimited,,2025-11-29T23:13:01.217038+00:00,2,,,,,Twitter,user_48272,35,13
twitter_synthetic_4167,[Delhi] Best company bahut lucky hoon @BPCLimited,,2025-11-28T15:13:01.217038+00:00,41,,,,,Twitter,user_88049,1,14
twitter_synthetic_3897,[Delhi] Never again booking with BPCL,,2025-12-03T22:13:01.217038+00:00,22,,,,,Twitter,user_52685,1,5
twitter_synthetic_812,Can I upgrade my plan? @BPCLimited please fix this,,2025-11-21T16:13:01.217038+00:00,49,,,,,Twitter,user_98777,45,15
twitter_synthetic_2233,[Mumbai] How to change address in HelloBPCL? @BPCLimited,,2025-12-10T08:13:01.217038+00:00,13,,,,,Twitter,user_62212,19,10
twitter_synthetic_3956,[Pune] BharatGas delivery bahut late hai. 5 din wait kar rahe ho @BPCLimited,,2025-11-26T04:13:01.217038+00:00,0,,,,,Twitter,user_72300,27,17
twitter_synthetic_1881,[Chennai] What are the charges? @BPCLimited,,2025-12-11T00:13:01.217038+00:00,58,,,,,Twitter,user_82669,34,10
twitter_synthetic_2484,[Pune] HelloBPCL app bahut easy use karna @BPCLimited,,2025-11-17T03:13:01.217038+00:00,49,,,,,Twitter,user_11372,50,11
twitter_synthetic_1682,[Pune] Premium service par premium charges bhi @BPCLimited,,2025-12-04T11:13:01.217038+00:00,58,,,,,Twitter,user_37297,22,0
twitter_synthetic_4150,[Bangalore] Transparent billing system needed @BPCLimited,,2025-12-15T07:13:01.217038+00:00,69,,,,,Twitter,user_75995,31,16
twitter_synthetic_3103,[Delhi] Pure For Sure? Nahi dikha mujhe @BPCLimited,,2025-12-02T08:13:01.217038+00:00,45,,,,,Twitter,user_30989,14,10
twitter_synthetic_4086,[Chennai] Cylinder ka seal toot gaya delivery ke time par @BPCLimited,,2025-11-21T12:13:01.217038+00:00,92,,,,,Twitter,user_53986,48,10
twitter_synthetic_4624,[Bangalore] Better ratings system needed @BPCLimited,,2025-12-10T03:13:01.217038+00:00,62,,,,,Twitter,user_86558,32,4
twitter_synthetic_2190,[Mumbai] Gas quality theek nahi lag raha cylinder se,,2025-12-12T08:13:01.217038+00:00,67,,,,,Twitter,user_30004,50,13
twitter_synthetic_1453,[Delhi] Customer care very responsive @BPCLimited,,2025-11-20T04:13:01.217038+00:00,78,,,,,Twitter,user_54455,34,0
twitter_synthetic_3331,[Bangalore] Customer care helpful tha but complaint solve nahi hua @BPCLimited,,2025-12-02T15:13:01.217038+00:00,19,,,,,Twitter,user_87322,45,10
twitter_synthetic_3553,[Pune] Best choice for household gas,,2025-11-17T00:13:01.217038+00:00,11,,,,,Twitter,user_2974,25,16
twitter_synthetic_3620,"[Mumbai] Previously better, now average @BPCLimited",,2025-12-12T01:13:01.217038+00:00,28,,,,,Twitter,user_49196,33,15
twitter_synthetic_956,Experience mixed - good aur bad dono @BPCLimited never use again,,2025-11-30T07:13:01.217038+00:00,99,,,,,Twitter,user_50245,36,18
twitter_synthetic_3655,[Bangalore] Tipping ka natija? Cylinder hi nahi milega @BPCLimited,,2025-12-09T16:13:01.217038+00:00,69,,,,,Twitter,user_35892,10,17
twitter_synthetic_4415,[Hyderabad] Mostly good experience lekin last time late aaye @BPCLimited,,2025-12-07T22:13:01.217038+00:00,23,,,,,Twitter,user_62119,14,6
twitter_synthetic_3262,[Bangalore] Loyalty rewards program launch karo @BPCLimited,,2025-12-05T17:13:01.217038+00:00,12,,,,,Twitter,user_3924,18,15
twitter_synthetic_452,Cylinder ka seal toot gaya delivery ke time par @BPCLimited amazing,,2025-11-26T22:13:01.217038+00:00,43,,,,,Twitter,user_79505,2,8
twitter_synthetic_899,How to track my LPG delivery? @BPCLimited again,,2025-11-17T10:13:01.217038+00:00,98,,,,,Twitter,user_34881,18,7
twitter_synthetic_3732,[Delhi] Make app available in Hindi @BPCLimited,,2025-11-30T06:13:01.217038+00:00,20,,,,,Twitter,user_64809,18,6
twitter_synthetic_318,Worth every paisa spent @BPCLimited appreciate your service,,2025-12-03T17:13:01.217038+00:00,80,,,,,Twitter,user_85224,13,0
twitter_synthetic_760,Staff helpful but process complicated @BPCLimited again,,2025-12-15T12:13:01.217038+00:00,53,,,,,Twitter,user_47632,41,9
twitter_synthetic_2730,[Hyderabad] Pure For Sure? Nahi dikha mujhe @BPCLimited,,2025-11-24T08:13:01.217038+00:00,80,,,,,Twitter,user_13052,36,1
twitter_synthetic_346,Subscription plan mein hidden charges the @BPCLimited thanks,,2025-12-06T16:13:01.217038+00:00,11,,,,,Twitter,user_30775,29,1
twitter_synthetic_2265,[Ahmedabad] Should have SMS updates for delivery @BPCLimited,,2025-11-23T10:13:01.217038+00:00,78,,,,,Twitter,user_50842,44,15
twitter_synthetic_2631,[Chennai] Bad experience with local distributor,,2025-11-21T05:13:01.217038+00:00,76,,,,,Twitter,user_83339,28,13
twitter_synthetic_1889,[Bangalore] Gas quality theek nahi lag raha cylinder se,,2025-12-06T07:13:01.217038+00:00,40,,,,,Twitter,user_35399,29,0
twitter_synthetic_1256,[Pune] Improve app UI @BPCLimited,,2025-11-27T16:13:01.217038+00:00,22,,,,,Twitter,user_15998,34,8
twitter_synthetic_924,Price kya hai ye month? @BPCLimited ok service,,2025-11-30T18:13:01.217038+00:00,65,,,,,Twitter,user_1450,11,10
twitter_synthetic_759,Recommended BPCL to all my friends very frustrated,,2025-11-25T18:13:01.217038+00:00,92,,,,,Twitter,user_11990,44,2
twitter_synthetic_1760,[Kolkata] Service center par staff bahut rude tha,,2025-12-11T01:13:01.217038+00:00,10,,,,,Twitter,user_3207,37,14
twitter_synthetic_3023,[Mumbai] Seal broken tha new cylinder par,,2025-12-03T15:13:01.217038+00:00,100,,,,,Twitter,user_20694,28,18
twitter_synthetic_2953,[Bangalore] Value for money but quality inconsistent @BPCLimited,,2025-12-03T04:13:01.217038+00:00,89,,,,,Twitter,user_38278,42,6
twitter_synthetic_995,More payment options chahiye @BPCLimited mediocre,,2025-11-25T12:13:01.217038+00:00,53,,,,,Twitter,user_78023,48,2
twitter_synthetic_876,Customer care helpful tha but complaint solve nahi hua @BPCLimited again,,2025-12-05T22:13:01.217038+00:00,98,,,,,Twitter,user_53196,25,16
twitter_synthetic_4116,[Kolkata] HelloBPCL app bahut easy use karna @BPCLimited,,2025-12-13T19:13:01.217038+00:00,29,,,,,Twitter,user_67432,8,1
twitter_synthetic_2521,"[Kolkata] Gas nahi aaya, where is my cylinder? @BPCLimited",,2025-12-07T05:13:01.217038+00:00,61,,,,,Twitter,user_81021,39,1
twitter_synthetic_1930,[Chennai] Experience mixed - good aur bad dono @BPCLimited,,2025-11-22T11:13:01.217038+00:00,32,,,,,Twitter,user_24256,23,7
twitter_synthetic_1253,[Kolkata] Delivery time window bilkul galat rehta hai @BPCLimited,,2025-12-11T03:13:01.217038+00:00,25,,,,,Twitter,user_51816,0,19
twitter_synthetic_1819,[Bangalore] Delivery time window bilkul galat rehta hai @BPCLimited,,2025-11-19T23:13:01.217038+00:00,71,,,,,Twitter,user_20805,25,20
twitter_synthetic_2261,[Delhi] Consistent quality aur service @BPCLimited,,2025-12-06T04:13:01.217038+00:00,91,,,,,Twitter,user_70422,44,8
twitter_synthetic_1514,"[Bangalore] Previously better, now average @BPCLimited",,2025-11-18T08:13:01.217038+00:00,87,,,,,Twitter,user_62191,24,17
twitter_synthetic_3398,[Pune] Quality OK but pricing badh gayi @BPCLimited,,2025-12-05T00:13:01.217038+00:00,30,,,,,Twitter,user_34324,41,13
twitter_synthetic_2884,[Kolkata] HelloBPCL app bahut slow chal raha hai @BPCLimited,,2025-11-24T02:13:01.217038+00:00,81,,,,,Twitter,user_67254,12,3
twitter_synthetic_2615,[Bangalore] Pure For Sure! Love BPCL quality @BPCLimited,,2025-12-07T09:13:01.217038+00:00,91,,,,,Twitter,user_94967,47,16
twitter_synthetic_4311,[Mumbai] How to change address in HelloBPCL? @BPCLimited,,2025-12-02T01:13:01.217038+00:00,8,,,,,Twitter,user_19908,12,11
twitter_synthetic_546,Service center par staff bahut rude tha amazing,,2025-12-16T11:13:01.217038+00:00,76,,,,,Twitter,user_41602,30,7
twitter_synthetic_2935,[Bangalore] Quality never compromises @BPCLimited,,2025-12-15T10:13:01.217038+00:00,60,,,,,Twitter,user_11453,49,11
twitter_synthetic_3583,[Pune] Good quality but expensive ho gaya @BPCLimited,,2025-11-27T12:13:01.217038+00:00,52,,,,,Twitter,user_61433,42,20
twitter_synthetic_4292,[Hyderabad] Service theek hai par billing mein galti tha @BPCLimited,,2025-11-30T13:13:01.217038+00:00,49,,,,,Twitter,user_24563,49,3
twitter_synthetic_104,Reduce waiting time @BPCLimited please fix this,,2025-12-02T13:13:01.217038+00:00,25,,,,,Twitter,user_64699,44,0
twitter_synthetic_4988,[Bangalore] BharatGas service excellent hai @BPCLimited,,2025-11-25T18:13:01.217038+00:00,40,,,,,Twitter,user_70020,15,0
twitter_synthetic_4078,[Mumbai] Best company bahut lucky hoon @BPCLimited,,2025-12-07T02:13:01.217038+00:00,26,,,,,Twitter,user_19930,1,7
twitter_synthetic_4398,[Ahmedabad] Great service from BPCL! Delivery on time always @BPCLimited,,2025-12-05T05:13:01.217038+00:00,25,,,,,Twitter,user_54088,10,5
twitter_synthetic_2802,[Ahmedabad] App badiya hai lekin delivery slow ho gaya @BPCLimited,,2025-12-15T07:13:01.217038+00:00,17,,,,,Twitter,user_92219,46,6
twitter_synthetic_4592,[Bangalore] Pure For Sure? Nahi dikha mujhe @BPCLimited,,2025-12-16T19:13:01.217038+00:00,65,,,,,Twitter,user_91162,36,6
twitter_synthetic_4272,[Kolkata] Tipping ka natija? Cylinder hi nahi milega @BPCLimited,,2025-12-05T04:13:01.217038+00:00,96,,,,,Twitter,user_25300,13,1
twitter_synthetic_733,Cylinder ka seal toot gaya delivery ke time par @BPCLimited mediocre,,2025-11-30T18:13:01.217038+00:00,21,,,,,Twitter,user_65825,50,19
twitter_synthetic_2731,[Pune] Kya online payment safe hai? @BPCLimited,,2025-11-24T06:13:01.217038+00:00,97,,,,,Twitter,user_17131,16,10
twitter_synthetic_1206,[Pune] More payment options chahiye @BPCLimited,,2025-11-23T20:13:01.217038+00:00,33,,,,,Twitter,user_24069,26,8
twitter_synthetic_4532,[Delhi] Excellent service quality maintained,,2025-12-10T22:13:01.217038+00:00,72,,,,,Twitter,user_27235,23,20
twitter_synthetic_2630,[Ahmedabad] Very satisfied with BharatGas service @BPCLimited,,2025-11-27T18:13:01.217038+00:00,50,,,,,Twitter,user_26985,37,0
twitter_synthetic_286,App crash ho jaata hai booking time par never use again,,2025-11-23T21:13:01.217038+00:00,56,,,,,Twitter,user_40173,6,3
twitter_synthetic_3530,[Pune] Make app available in Hindi @BPCLimited,,2025-11-24T13:13:01.217038+00:00,57,,,,,Twitter,user_14284,48,3
twitter_synthetic_2076,[Ahmedabad] Great service from BPCL! Delivery on time always @BPCLimited,,2025-11-29T01:13:01.217038+00:00,62,,,,,Twitter,user_46368,24,19
twitter_synthetic_835,Gas smell aa raha lamps se @BPCLimited anyone facing same issue?,,2025-12-12T01:13:01.217038+00:00,32,,,,,Twitter,user_94735,39,10
twitter_synthetic_703,Can I upgrade my plan? @BPCLimited never use again,,2025-12-02T14:13:01.217038+00:00,18,,,,,Twitter,user_22894,12,6
twitter_synthetic_291,Staff bahut polite aur helpful tha @BPCLimited appreciate your service,,2025-11-25T19:13:01.217038+00:00,7,,,,,Twitter,user_59162,13,8
twitter_synthetic_4420,[Delhi] Flexible delivery time slots chahiye @BPCLimited,,2025-12-06T21:13:01.217038+00:00,49,,,,,Twitter,user_19983,16,16
twitter_synthetic_926,Refund process bahut complicated hai ok service,,2025-11-21T21:13:01.217038+00:00,76,,,,,Twitter,user_43598,2,0
twitter_synthetic_2438,"[Delhi] Sometimes on time, sometimes late @BPCLimited",,2025-11-17T15:13:01.217038+00:00,73,,,,,Twitter,user_78313,2,2
twitter_synthetic_4349,[Kolkata] Subscription plan details kya hain? @BPCLimited,,2025-12-09T18:13:01.217038+00:00,35,,,,,Twitter,user_9405,50,3
twitter_synthetic_4643,[Bangalore] Better ratings system needed @BPCLimited,,2025-12-09T18:13:01.217038+00:00,57,,,,,Twitter,user_39868,32,20
twitter_synthetic_1301,[Ahmedabad] Leakage issue cylinder mein @BPCLimited,,2025-12-12T15:13:01.217038+00:00,72,,,,,Twitter,user_45568,36,1
twitter_synthetic_686,Leakage issue cylinder mein @BPCLimited disappointed,,2025-11-22T01:13:01.217038+00:00,60,,,,,Twitter,user_22550,12,2
twitter_synthetic_3609,[Hyderabad] Overcharging kar rahe ho @BPCLimited,,2025-12-14T08:13:01.217038+00:00,78,,,,,Twitter,user_41539,35,1
twitter_synthetic_3092,[Bangalore] Tipping ka natija? Cylinder hi nahi milega @BPCLimited,,2025-12-05T16:13:01.217038+00:00,8,,,,,Twitter,user_95840,31,10
twitter_synthetic_3819,[Bangalore] Smooth booking process @BPCLimited,,2025-12-14T18:13:01.217038+00:00,12,,,,,Twitter,user_72048,36,13
twitter_synthetic_2901,[Bangalore] Best LPG provider in India @BPCLimited,,2025-11-23T09:13:01.217038+00:00,39,,,,,Twitter,user_98641,18,19
twitter_synthetic_144,Pure For Sure? Nahi dikha mujhe @BPCLimited ok service,,2025-12-08T19:13:01.217038+00:00,16,,,,,Twitter,user_74724,38,3
twitter_synthetic_2959,[Hyderabad] Gas smell aa raha lamps se @BPCLimited,,2025-12-07T16:13:01.217038+00:00,33,,,,,Twitter,user_61618,24,8
twitter_synthetic_2939,[Mumbai] Mileage bilkul kam aa raha hai iss petrol se,,2025-11-22T15:13:01.217038+00:00,45,,,,,Twitter,user_1507,6,20
twitter_synthetic_277,Always on time delivery from BPCL terrible,,2025-12-07T12:13:01.217038+00:00,64,,,,,Twitter,user_70436,20,13
twitter_synthetic_3557,[Delhi] Service center par staff bahut rude tha,,2025-11-19T04:13:01.217038+00:00,20,,,,,Twitter,user_43314,7,13
twitter_synthetic_3713,[Bangalore] Quality OK but pricing badh gayi @BPCLimited,,2025-11-27T15:13:01.217038+00:00,17,,,,,Twitter,user_67930,35,20
twitter_synthetic_1789,[Delhi] Quick payment process in HelloBPCL app @BPCLimited,,2025-12-11T05:13:01.217038+00:00,10,,,,,Twitter,user_5020,23,11
twitter_synthetic_2288,[Ahmedabad] Wait time bilkul barh gayi hai,,2025-12-03T23:13:01.217038+00:00,36,,,,,Twitter,user_91334,27,19
twitter_synthetic_218,Should have SMS updates for delivery @BPCLimited terrible,,2025-11-21T15:13:01.217038+00:00,84,,,,,Twitter,user_8600,23,18
twitter_synthetic_4834,[Ahmedabad] Loyalty rewards program launch karo @BPCLimited,,2025-12-07T21:13:01.217038+00:00,19,,,,,Twitter,user_57606,25,5
twitter_synthetic_2316,[Mumbai] Safest LPG provider for family,,2025-12-12T20:13:01.217038+00:00,1,,,,,Twitter,user_55290,1,0
twitter_synthetic_3393,"[Bangalore] Gas nahi aaya, where is my cylinder? @BPCLimited",,2025-12-10T18:13:01.217038+00:00,73,,,,,Twitter,user_16732,4,15
twitter_synthetic_2970,[Ahmedabad] Customer service bahut bura hai,,2025-12-06T20:13:01.217038+00:00,14,,,,,Twitter,user_10171,38,12
twitter_synthetic_4926,[Ahmedabad] Subscription plan details kya hain? @BPCLimited,,2025-12-13T06:13:01.217038+00:00,42,,,,,Twitter,user_9565,48,8
twitter_synthetic_1792,"[Chennai] Complaint number diya 10 din pehle, abhi tak koi response nahi @BPCLimited",,2025-12-13T19:13:01.217038+00:00,23,,,,,Twitter,user_21003,31,12
twitter_synthetic_4439,[Delhi] Subscription plan mein hidden charges the @BPCLimited,,2025-11-17T20:13:01.217038+00:00,10,,,,,Twitter,user_67994,19,9
twitter_synthetic_2407,[Ahmedabad] Leakage issue cylinder mein @BPCLimited,,2025-12-14T08:13:01.217038+00:00,23,,,,,Twitter,user_82822,38,12
twitter_synthetic_4084,[Ahmedabad] Staff bahut polite aur helpful tha @BPCLimited,,2025-12-05T13:13:01.217038+00:00,97,,,,,Twitter,user_95776,18,1
twitter_synthetic_905,App user-friendly but payment fail issue @BPCLimited pls resolve asap,,2025-11-26T10:13:01.217038+00:00,90,,,,,Twitter,user_51568,36,15
twitter_synthetic_368,Flexible delivery time slots chahiye @BPCLimited again,,2025-12-05T13:13:01.217038+00:00,96,,,,,Twitter,user_42153,42,6
twitter_synthetic_3697,[Delhi] Reduce waiting time @BPCLimited,,2025-12-08T14:13:01.217038+00:00,92,,,,,Twitter,user_24631,50,8
twitter_synthetic_753,Subscription plan mein hidden charges the @BPCLimited really good,,2025-12-08T06:13:01.217038+00:00,57,,,,,Twitter,user_58959,34,6
twitter_synthetic_2532,[Chennai] Premium service par premium charges bhi @BPCLimited,,2025-11-19T12:13:01.217038+00:00,60,,,,,Twitter,user_78405,10,3
twitter_synthetic_3921,[Kolkata] Customer service bahut bura hai,,2025-11-17T14:13:01.217038+00:00,62,,,,,Twitter,user_59404,50,3
